session_id,duration_seconds,arrow_total,arrow_vertical,arrow_horizontal,arrow_density_per_min,arrow_to_keystroke_ratio,arrow_up,arrow_down,backspace_count,backspace_ratio,backspace_to_char_ratio,backspace_sequences,max_consecutive_backspaces,char_key_count,typing_variance,mean_keystroke_interval,pause_count_short,pause_count_medium,pause_count_long,typing_burst_count,typing_consistency_score,editor_click_count,click_density_per_min,total_click_count,snapshot_count,code_growth_variance,sudden_jumps,deletion_events,growth_linearity_score,active_periods,thinking_pauses,max_continuous_typing_ms,label,suspicion_type
session_1768639051335_67jf7lcya,431.468,66,11,55,9.22189127949084,0.14410480349344978,4,7,32,0.06986899563318777,0.1553398058252427,18,4,206,1693.3218689126998,936.0507614213197,21,10,11,52,1.8090064542456257,0,0.0,14,54,8.217235660984317,0,1,0.0,88,32,2645,0,normal
session_1768669053246_gw337ikqv,1087.819,563,195,368,31.081561034138193,0.2996274614156466,104,91,224,0.11921234699308142,0.3430321592649311,82,10,653,1216.2442263577648,684.0319488817892,79,17,12,160,1.7780517830285583,0,0.0,6,152,32.41853287285453,3,12,0.0,288,62,5605,0,normal
session_1768662785596_aelxffzuv,260.61,48,22,26,11.202215549297527,0.15483870967741936,13,9,23,0.07419354838709677,0.15862068965517243,15,3,145,1339.9432917976446,747.5314685314685,20,6,3,38,1.7924908157110415,0,0.0,3,31,51.58591539041124,1,3,0.0,58,9,3866,0,normal
session_1768662302704_yy3pdwhg1,227.091,66,22,44,17.515226304685324,0.1783783783783784,15,7,38,0.10270270270270271,0.21468926553672316,12,8,177,1132.5883263056473,642.2514619883041,23,7,3,47,1.7634655479013495,0,0.0,3,32,14.480098653805278,0,1,0.0,68,16,4080,0,normal
session_1768664745261_3l2rhaqmb,510.324,76,37,39,8.953096377333745,0.19895287958115182,16,21,26,0.06806282722513089,0.14942528735632185,16,4,174,1526.2630309977058,817.2378048780488,22,5,6,42,1.8675874046544632,0,0.0,5,42,22.484418558855456,1,4,0.0,73,26,5648,0,normal
session_1768663374476_2nax9y4h9,562.697,286,82,204,30.604819724057243,0.31019522776572667,35,47,102,0.11062906724511931,0.2802197802197802,36,10,364,1236.5895236640629,701.8911174785101,49,14,5,85,1.7617967984926435,0,0.0,7,77,18.73582104698668,0,4,0.0,157,35,4164,0,normal
session_1768668597001_iqpox5wj4,246.809,150,8,142,36.61409154336532,0.39267015706806285,5,3,20,0.05235602094240838,0.14925373134328357,12,3,134,1522.0357750361195,749.0708661417323,12,4,6,31,2.0318982406507504,0,0.0,5,31,9.499473669630333,0,1,0.0,53,17,4793,0,normal
session_1768664331132_l5i54d59f,277.932,28,3,25,6.066536910182754,0.0625,0,3,1,0.002232142857142857,0.004219409282700422,0,0,237,1775.2902963491367,1066.5593220338983,37,12,14,68,1.6645021609897035,0,0.0,1,52,5.794905556726549,0,0,1.0,106,17,2194,1,memorized_solution
session_1768662925145_vmx2qnp1k,153.804,8,1,7,3.141484613270155,0.027586206896551724,0,1,3,0.010344827586206896,0.01818181818181818,2,1,165,1320.3458169194507,795.5548780487804,23,6,4,41,1.6596539765525666,0,0.0,1,28,5.9194408960020874,0,0,1.0,56,3,3883,1,memorized_solution
session_1768661594562_5emo5x52d,284.824,17,5,12,3.593801748983518,0.03563941299790356,0,5,10,0.020964360587002098,0.05,3,2,200,1513.2731534253346,1192.5075376884422,51,17,6,38,1.2689841410635145,0,0.0,1,50,20.858800205728294,0,5,0.0,107,18,3339,1,memorized_solution
session_1768484205595_d2ulfcsmu,360.117,7,0,7,3.5408675125405726,0.03255813953488372,0,0,21,0.09767441860465116,0.19626168224299065,8,5,107,1358.2620779089398,913.5188679245283,22,6,2,24,1.4868462224484176,1,0.5058382160772247,3,22,7.074273918496718,0,0,1.0,44,5,2625,1,memorized_solution
session_1768662029808_4d00lf7p4,305.727,28,1,27,5.51316761014029,0.05458089668615984,0,1,13,0.025341130604288498,0.04609929078014184,8,3,282,1319.589513096373,818.1814946619218,43,17,5,74,1.612832264852967,0,0.0,1,49,27.004042585735608,0,3,0.0,108,11,3356,1,memorized_solution
session_1768639478218_n0e5ghvsw,461.921,30,9,21,3.9052330122363967,0.03588516746411483,1,8,28,0.03349282296650718,0.060085836909871244,11,5,466,1363.5276130325767,868.4449244060476,84,25,9,115,1.5700795464549802,0,0.0,2,86,24.164717337760045,1,6,0.0,187,27,2498,1,memorized_solution
session_1768639478218_n0e5ghvsw,461.921,30,9,21,3.9052330122363967,0.03588516746411483,1,8,28,0.03349282296650718,0.060085836909871244,11,5,466,1363.5276130325767,868.4449244060476,84,25,9,115,1.5700795464549802,0,0.0,2,86,24.164717337760045,1,6,0.0,187,27,2498,1,memorized_solution
session_1768667479989_j7azdqv1s,140.591,12,2,10,5.157962604771116,0.04780876494023904,0,2,7,0.027888446215139442,0.0603448275862069,3,3,116,1419.8297839885402,1064.0434782608695,25,8,3,30,1.3343719622333357,0,0.0,1,26,5.771100414998859,0,0,1.0,60,6,2179,1,memorized_solution
session_1768669604599_dtaqwsprg,593.277,43,3,40,4.356084589084462,0.055627425614489,0,3,9,0.01164294954721863,0.021791767554479417,8,1,413,1500.2014835864693,933.5049261083744,58,22,15,102,1.607063274792301,4,0.4052171710776244,10,93,37.638256477440954,2,3,0.0,161,42,4264,1,memorized_solution
